1 01h04'18'' PERRIER NICOLAS SEM Ale  Cross du Pain - 15 km 22/6/2014
3533 02h06'57'' PERRIER NICOLAS SEM    La Transbaie 22/6/2014
32 01h30'14'' PERRIER NICOLAS SEM    La Montée du Puy-de-Dôme 21/6/2014
2 01h03'34'' PERRIER NICOLAS SEM    Cross de l'Amitié - 15 km 18/5/2014
95 03h19'26'' PERRIER NICOLAS SEM [78]  Trail des Cerfs - 35 km 18/5/2014
5 01h58'48'' PERRIER NICOLAS SEM Running Conseil 31200  Trail des Citadelles - 20 km 20/4/2014
73 05h49'20'' PERRIER NICOLAS SEM    Trail du Josas - 50 km 6/4/2014
48 02h27'06'' PERRIER NICOLAS SEM    Sara Korrika Trail 30/3/2014
17 04h14'36'' PERRIER NICOLAS SEM    Trail de Vulcain - 42 km 2/3/2014
29 03h21'10'' PERRIER NICOLAS SEM Team Raidlight  La Romeufontaine Authentique 19/1/2014
25 58'42'' PERRIER NICOLAS SEM    A l'Assaut de Tournoël - 13 km 21/12/2013
2555 10h56'56'' PERRIER NICOLAS SEM    Saintélyon 8/12/2013
17 03h59'07'' PERRIER NICOLAS SEM TEAM RAIDLIGHT  Saintexpress 8/12/2013
1575 03h37'16'' PERRIER NICOLAS V1M    Marathon des Alpes Maritimes Nice - Cannes 10/11/2013
1 01h52'59'' CORI BENOIT SEM    La Course des Portes Ouvertes de la Vallée 13/10/2013
26 07h25'14'' PERRIER NICOLAS SEM    Trail du Viaduc des Fauvettes - 50 km 13/10/2013
6 01h04'09'' PERRIER NICOLAS SEM ALE  Cross des Châtaignes - 15 km 13/10/2013
1354 01h43'12'' PERRIER NICOLAS V1M    Semi-Marathon de Lyon 6/10/2013
30 02h02'39'' PERRIER NICOLAS SEM Entente Athletique Grenoble 38  Gap'en Cimes - Trail des Crêtes - 25 km 6/10/2013
1 58'11'' PERRIER NICOLAS SEM    Trail du Cassoulet - 14 km 6/10/2013
6 41'31'' PERRIER NICOLAS SEM    La Wider Classic 29/9/2013
15 01h37'08'' PERRIER NICOLAS SEM Monthey  Les KM de Chando - 2000 m 28/9/2013
1 02h07'12'' PERRIER NICOLAS SEM    La Bambee des Hameaux 22/9/2013
127 07h02'30'' PERRIER NICOLAS SEM GOODPEOPLERUN/A  Trail de la Côte d'Opale - 62 km 8/9/2013
10 46'59'' PERRIER NICOLAS SEM    Sara Korrika 7/9/2013
4882 02h15'26'' PERRIER NICOLAS SEM    Semi-Marathon de Lille Metropole 31/8/2013
20 01h41'18'' PERRIER NICOLAS SEM TEAM RAIDLIGHT  Trail des Balcons de Châteauvieux - 18 km 18/8/2013
7 04h11'38'' PERRIER NICOLAS SEM Goodpeoplerun / Ale Saint Pons  Trail Ubaye Salomon - 42 km 11/8/2013
38 01h21'48'' PERRIER NICOLAS SEM    La Course de la Rhune 11/8/2013
16 07h33'08'' PERRIER NICOLAS SEM MONTHEY  Trail du Vélan - 45 km 27/7/2013
22 02h13'03'' PERRIER NICOLAS SEM TEAM RAIDLIGHT  Trail des 2 Lacs 27/7/2013
4 46'27'' PERRIER NICOLAS SEM    La Vertical kil' 20/7/2013
6 08h49'40'' PERRIER NICOLAS SEM Good People Run  Ice Trail Tarentaise 14/7/2013
1 01h34'05'' PERRIER NICOLAS SEM    Trail de l'Alpe du Grand Serre - 23 km 7/7/2013
47 02h34'14'' PERRIER NICOLAS SEM    Les Crêtes du Pays Basque - 26 km 6/7/2013
